,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,Y
ConsecutivoPuente,NombrePuente,Provincia,Canton,Distrito,Encargado,Ruta,Kilometro,Longitud,TipoPuente,AlturaLibreVerticalInferior,Calzada,ClasificacionRuta,H1,H2,H3,H4,H5,H6,H7,LatitudTotalGPS,LongitudTotalGPS,TipoPavimento,NoDeSuperestructuras,NoDeSubestructuras,NoTramos,AnchoTotal,W1,W2,W3,W4,W5,W6,W7,NoSuperestructura,TipoViga,AlturaViga,NoElementosPrincipales,AlineacionPlanta,TramoMaximo,TipoEstructura,Superestructura,LongitudTotal,PrioridadReparacion
269,Nombre X,2,1,7,5,107,6.691999912,14,1,1.899999976,1.674999952,2,0,0,0,0,0.230000004,0,0.709999979,10.06086731,-84.24913025,1,1,2,1,2.034999847,0,0,0,0,1.674999952,0.360000014,0,1,6,0.730000019,2,1,14,2,1,14,18.34
1411,Nombre X,1,1,11,2,209,2.305000067,14.89999962,1,7.119999886,2.095000029,2,0,0,0,0,0,0,0,9.906661034,-84.06842804,1,1,2,1,2.095000029,0,0,0,0,2.095000029,0,0,1,3,0.839999974,2,3,14.89999962,3,1,14.89999962,24.78
472,Nombre X,3,2,1,9,10,9.381999969,6,1,6.480000019,1.350000024,1,0.699999988,0,0.129999995,0,0,0,0,9.839694977,-83.87021637,1,1,2,1,2.099999905,0.150000006,0.600000024,1.350000024,0,0,0,0,1,6,0.400000006,1,1,6,3,11,6,38.86
1426,Nombre X,7,2,1,20,149,0.589999974,11.30000019,1,2.559999943,0.460000008,2,0,0,0,0,0.119999997,0.07,1.159999967,10.21595287,-83.78624725,3,1,2,1,2.120000124,0,0,0,0,0.460000008,1.460000038,0.200000003,1,1,0.230000004,1,1,11.30000019,3,1,11.30000019,31.23
678,Nombre X,1,18,1,4,2,8.255000114,20.89999962,1,1.399999976,1,1,0,0,0,0,0.25,0,0.810000002,9.915910721,-84.03188324,1,1,2,1,2.130000114,0,0,0,0,1,0.680000007,0.449999988,1,3,0.930000007,3,1,20.89999962,2,1,20.89999962,38.06
227,Nombre X,2,8,3,5,107,10.60499954,15,1,2.910000086,1.809999943,2,0.680000007,0,0.219999999,0,0,0,0,10.0909071,-84.25379944,1,1,2,1,2.190000057,0.379999995,0,1.809999943,0,0,0,0,1,6,0.699999988,2,1,15,2,1,15,31.25
271,Nombre X,2,8,3,5,107,10.60499954,15,1,2.910000086,1.809999943,2,0,0,0,0,0.219999999,0,0.680000007,10.0909071,-84.25379944,1,1,2,1,2.190000057,0,0,0,0,1.809999943,0,0.379999995,1,6,0.699999988,2,1,15,2,1,15,31.25
746,Nombre X,1,2,3,3,121,1.309999943,8,1,3.299999952,0.889999986,2,0.720000029,0,0.050000001,0,0,0,0,9.930984497,-84.14482117,1,1,2,1,2.199999809,0.310000002,1,0.889999986,0,0,0,0,1,6,0.449999988,1,1,8,3,11,8,37.83
824,Nombre X,2,2,7,7,135,3.61500001,5.5,1,4.800000191,1.879999995,2,0,0,0,0,0,0,0.769999981,10.07836246,-84.45640564,1,1,2,1,2.200000048,0,0,0,0,1.879999995,0,0.319999993,1,3,0.699999988,1,1,5.5,3,1,5.5,34.12
1432,Nombre X,1,3,10,4,212,2.265000105,6.699999809,1,3.849999905,1.705000043,2,0,0,0,0,0,0.270000011,0.720000029,9.884602547,-84.03652191,1,1,2,1,2.204999924,0,0,0,0,1.705000043,0,0.5,1,1,0.349999994,1,2,6.699999809,3,1,6.699999809,38.33
